Frame,YOLO_ms,Lane_ms,BEV_ms,Total_ms,FPS
453,17.37,30.05,0.63,48.43,20.65
454,16.63,25.41,0.76,43.23,23.13
455,19.53,25.83,0.8,46.6,21.46
456,15.88,23.86,0.5,40.62,24.62
457,16.19,25.34,0.55,42.43,23.57
458,18.49,24.7,0.74,44.37,22.54
459,21.18,25.96,0.62,48.1,20.79
460,16.19,24.53,1.0,42.22,23.68
461,18.37,26.57,1.46,46.91,21.32
462,16.44,25.08,1.03,43.04,23.23
463,19.52,24.66,0.76,45.35,22.05
464,16.13,24.24,0.97,41.86,23.89
465,17.91,25.68,1.05,45.17,22.14
466,16.88,33.49,1.45,52.58,19.02
467,30.01,37.79,1.33,69.86,14.31
468,16.49,41.43,1.21,59.78,16.73
469,39.21,41.34,1.45,82.76,12.08
470,31.95,40.42,1.08,74.49,13.42
471,31.4,34.84,1.18,68.09,14.69
472,28.93,36.34,1.56,67.59,14.8
473,32.82,44.48,1.49,79.54,12.57
474,29.28,40.7,1.15,71.77,13.93
475,28.0,35.37,1.13,65.21,15.33
476,33.9,43.7,1.2,81.55,12.26
477,31.79,44.71,0.87,77.94,12.83
478,29.86,41.1,0.82,72.31,13.83
479,31.92,35.68,0.73,68.84,14.53
480,31.51,41.83,0.76,74.64,13.4
481,39.17,43.79,1.14,84.71,11.8
482,24.75,40.94,1.44,67.81,14.75
483,20.13,36.03,1.03,57.77,17.31
484,20.03,41.75,1.22,63.67,15.71
485,21.48,43.79,0.92,66.77,14.98
486,38.0,36.5,1.51,76.86,13.01
487,30.29,35.16,1.4,67.66,14.78
488,28.18,40.56,1.4,70.86,14.11
489,38.67,43.08,1.38,83.91,11.92
490,25.51,24.74,0.81,51.5,19.42
491,22.13,25.4,0.86,48.92,20.44
492,16.27,24.62,0.82,42.13,23.74
493,16.39,26.67,0.82,44.31,22.57
494,17.29,26.79,0.86,45.37,22.04
495,16.06,25.11,0.52,42.06,23.78
496,17.58,27.24,0.59,45.84,21.82
